Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-07-01 09:30:00,206.6649932861328,208.19000244140625,206.14010620117188,207.0399932861328,6992822,0.0,0.0
2025-07-01 09:35:00,207.03399658203125,208.3800048828125,206.84500122070312,207.68499755859375,2957382,0.0,0.0
2025-07-01 09:40:00,207.68499755859375,207.84500122070312,206.5800018310547,207.52999877929688,1846074,0.0,0.0
2025-07-01 09:45:00,207.98500061035156,208.83999633789062,207.47999572753906,208.76980590820312,2224503,0.0,0.0
2025-07-01 09:50:00,208.77000427246094,209.01100158691406,207.8101043701172,208.77999877929688,2362952,0.0,0.0
2025-07-01 09:55:00,208.78700256347656,209.11000061035156,208.42999267578125,209.0847930908203,1662772,0.0,0.0
2025-07-01 10:00:00,209.05999755859375,209.4600067138672,208.82240295410156,208.97000122070312,1725958,0.0,0.0
2025-07-01 10:05:00,208.97999572753906,209.25,208.7100067138672,208.89500427246094,1250403,0.0,0.0
2025-07-01 10:10:00,208.89999389648438,209.67999267578125,208.55999755859375,209.66000366210938,1514465,0.0,0.0
2025-07-01 10:15:00,209.66000366210938,209.7899932861328,209.50999450683594,209.58999633789062,1315757,0.0,0.0
2025-07-01 10:20:00,209.59500122070312,209.8300018310547,209.16000366210938,209.36500549316406,1194088,0.0,0.0
2025-07-01 10:25:00,209.3699951171875,209.6199951171875,208.4199981689453,209.54010009765625,1679875,0.0,0.0
2025-07-01 10:30:00,209.5500946044922,209.89999389648438,209.25,209.25,1381195,0.0,0.0
2025-07-01 10:35:00,209.13999938964844,209.41000366210938,208.4600067138672,208.6199951171875,1271513,0.0,0.0
2025-07-01 10:40:00,208.60000610351562,208.74000549316406,207.9199981689453,208.47000122070312,1952534,0.0,0.0
2025-07-01 10:45:00,208.48770141601562,208.48770141601562,207.55999755859375,207.67100524902344,1076684,0.0,0.0
2025-07-01 10:50:00,207.64999389648438,208.60000610351562,207.47000122070312,208.60000610351562,1097658,0.0,0.0
2025-07-01 10:55:00,208.5998992919922,209.0,208.24000549316406,208.9600067138672,967187,0.0,0.0
2025-07-01 11:00:00,208.9600067138672,210.07000732421875,208.8800048828125,209.91000366210938,2537186,0.0,0.0
2025-07-01 11:05:00,209.91000366210938,210.18649291992188,209.42999267578125,209.5050048828125,1558253,0.0,0.0
2025-07-01 11:10:00,209.5050048828125,209.66000366210938,208.05999755859375,208.68380737304688,1250590,0.0,0.0
2025-07-01 11:15:00,208.67080688476562,208.8800048828125,208.4499969482422,208.6699981689453,841767,0.0,0.0
